Food_ID,Food_Name,Calories,Protein_g,Fat_g,Carbs_g,Fiber_g,Vitamin_C_mg,Iron_mg,Calcium_mg
F001,Lamb,592,33.4,38.7,58.0,11.8,4.1,3.4,61.5
F002,Mushroom,660,7.0,38.4,27.4,12.8,50.9,3.8,464.2
F003,Oregano,698,43.5,0.8,9.9,4.3,2.6,7.4,273.9
F004,Lobster,604,45.2,19.5,21.0,14.6,36.3,5.1,451.6
F005,Plum,480,44.7,4.7,38.3,3.6,54.1,6.3,363.7
F006,Cardamom,339,6.0,18.3,65.8,10.4,102.9,3.2,92.9
F007,Yogurt,223,11.9,20.2,4.0,5.6,109.4,4.1,14.6
F008,Cornmeal,481,27.2,11.7,26.3,10.2,28.9,7.5,299.0
F009,Mint,85,28.0,36.8,35.2,10.3,74.7,2.9,489.4
F010,Navy Beans,214,9.4,19.3,70.7,7.5,77.1,0.8,434.3
F011,Kidney Beans,794,32.3,36.1,75.9,13.7,34.7,1.6,222.5
F012,Red Lentils,367,5.2,11.5,62.2,12.3,71.6,0.8,88.7
F013,Noodles,442,11.1,12.8,60.7,11.4,93.9,4.4,486.2
F014,Paneer,135,24.6,9.4,60.3,11.1,77.9,0.9,307.9
F015,Cabbage,99,32.9,11.4,20.3,2.0,67.2,4.8,202.3
F016,Soy Milk,225,17.5,23.9,1.3,6.6,91.0,1.3,90.0
F017,Bell Pepper,614,18.3,20.7,16.5,8.8,111.5,1.8,98.1
F018,Paneer,550,41.1,19.0,43.8,1.4,33.0,5.8,19.2
F019,Ghee,484,20.5,10.9,7.6,14.7,80.2,1.7,180.3
F020,Cardamom,396,43.6,25.4,54.3,7.4,13.8,7.5,158.2
F021,Dark Chocolate,415,41.3,29.7,54.2,1.2,87.7,6.7,386.5
F022,Cashews,343,26.2,17.2,49.6,10.3,79.9,7.9,342.3
F023,Salmon,219,30.5,35.0,63.1,2.6,38.4,1.5,499.9
F024,Avocado Oil,640,21.3,24.8,60.1,6.4,86.7,2.7,183.1
F025,Celery,617,3.7,21.9,63.1,7.3,6.5,5.3,447.8
F026,Cinnamon,247,3.5,1.7,5.8,13.4,42.8,1.2,266.7
F027,Couscous,113,11.8,7.2,26.4,8.0,101.1,4.1,182.2
F028,Coconut,223,26.0,15.9,75.4,9.9,59.6,7.5,290.8
F029,Brown Rice,52,19.5,22.0,12.4,10.4,77.8,1.1,7.7
F030,Avocado,612,25.2,23.1,73.2,7.0,57.2,7.7,111.3
F031,Greek Yogurt,39,5.6,3.3,58.3,0.7,55.0,1.8,290.0
F032,Bread,175,30.9,25.0,47.1,6.3,105.6,0.1,87.6
F033,Mushroom,186,25.1,12.2,6.5,2.1,35.4,5.0,316.0
F034,Pasta,535,15.5,9.3,68.4,10.3,75.3,2.6,348.6
F035,Coconut,276,28.7,15.0,26.6,10.3,40.7,4.0,134.0
F036,Fish,525,21.5,4.8,44.7,3.6,14.5,3.5,348.0
F037,Cardamom,442,15.9,28.4,65.4,12.8,31.7,0.9,95.3
F038,Millet,114,16.9,36.9,40.6,5.9,28.4,6.7,123.4
F039,Pinto Beans,219,33.7,8.7,45.9,0.4,75.1,6.0,162.2
