User_ID,Recipe_ID,User_Rating
U082,R017,4
U070,R029,5
U004,R052,4
U039,R034,4
U048,R040,4
U013,R026,5
U005,R082,4
U036,R062,5
U012,R021,4
U021,R087,4
U068,R068,1
U046,R062,4
U060,R006,2
U022,R094,5
U055,R059,3
U080,R073,2
U019,R031,5
U002,R001,3
U088,R023,4
U028,R003,5
U017,R013,3
U070,R044,4
U021,R014,5
U091,R015,3
U067,R008,4
U028,R018,4
U033,R011,5
U009,R049,4
U008,R097,5
U077,R044,4
U041,R102,5
U054,R060,4
U038,R085,5
U012,R036,3
U069,R098,4
U024,R057,4
U079,R101,2
U056,R066,3
U056,R083,2
U026,R052,4
U100,R068,4
U039,R040,5
U070,R050,4
U099,R080,4
U031,R023,4
U053,R097,5
U033,R063,5
U061,R002,4
U076,R056,5
U094,R031,5
U090,R051,5
U049,R040,5
U047,R025,4
U065,R015,5
U063,R079,5
U028,R005,3
U015,R019,5
U020,R085,5
U077,R048,5
U059,R003,5
U044,R019,1
U074,R064,4
U009,R060,1
U053,R059,2
U086,R016,5
U089,R062,5
U091,R056,2
U017,R061,3
U015,R016,3
U037,R038,4
U066,R010,4
U018,R060,3
U025,R012,4
U065,R070,2
U089,R050,5
U086,R068,5
U040,R001,3
U095,R043,5
U080,R068,5
U022,R001,5
U006,R065,3
U024,R054,4
U086,R020,2
U031,R057,2
U009,R011,2
U074,R068,4
U065,R011,4
U040,R085,4
U099,R020,1
U052,R023,4
U083,R012,4
U015,R093,2
U092,R052,5
U061,R044,4
U072,R009,4
U004,R099,2
U015,R086,4
U003,R017,5
U040,R038,5
U009,R090,4
U042,R090,5
U079,R073,5
U017,R085,4
U070,R066,4
U082,R058,4
U023,R073,4
U073,R075,4
U047,R069,4
U069,R014,5
U053,R075,5
U040,R043,4
U058,R015,5
U075,R081,5
U045,R019,4
U004,R009,5
U067,R051,2
U010,R014,5
U092,R103,5
U031,R087,4
U064,R083,4
U100,R014,3
U023,R053,1
U096,R037,5
U045,R079,4
U025,R021,5
U094,R077,4
U006,R065,4
U006,R030,5
U026,R047,5
U098,R062,4
U096,R062,5
U038,R044,5
U047,R047,1
U056,R013,5
U040,R031,5
U064,R038,3
U100,R092,4
U063,R096,5
U029,R065,1
U065,R084,4
U008,R052,4
U054,R012,1
U083,R042,5
U061,R013,3
U015,R007,5
U011,R023,4
U066,R049,5
U024,R098,5
U026,R091,5
U092,R098,4
U054,R073,3
U087,R043,5
U093,R042,4
U064,R045,3
U056,R057,4
U021,R056,4
U078,R029,5
U036,R050,3
U025,R086,3
U022,R019,3
U072,R030,4
U061,R020,5
U071,R044,4
U099,R061,4
U070,R070,5
U049,R056,1
U098,R046,3
U010,R002,5
U084,R024,4
U013,R093,3
U074,R099,4
U076,R057,3
U051,R031,3
U067,R053,3
U076,R046,5
U004,R072,4
U034,R025,5
U017,R010,5
U058,R086,3
U010,R011,5
U062,R087,2
U060,R081,3
U031,R007,3
U016,R030,4
U093,R033,3
U095,R029,4
U081,R052,4
U040,R097,4
U016,R057,5
U035,R067,5
U024,R058,4
U030,R075,4
U034,R019,4
U023,R066,3
U032,R030,4
U035,R103,5
U090,R099,4
U053,R097,3
U070,R046,4
U003,R057,4
U064,R008,5
U060,R019,4
U090,R048,5
U024,R058,5
U018,R041,5
U021,R088,2
U100,R064,2
U032,R037,4
U015,R077,5
U029,R033,4
U066,R089,5
U074,R097,5
U015,R010,3
U067,R014,5
U074,R013,4
U093,R081,5
U013,R008,5
U036,R098,4
U043,R090,5
U005,R038,4
U076,R014,3
U015,R027,4
U028,R084,5
U027,R081,5
U027,R016,5
U086,R037,5
U024,R076,4
U037,R088,5
U052,R066,3
U028,R036,3
U021,R097,4
U094,R064,5
U043,R103,3
U047,R062,1
U032,R080,5
U088,R086,5
U074,R053,4
U071,R025,4
U047,R041,3
U018,R015,3
U035,R001,3
U007,R039,4
U017,R033,5
U076,R072,3
U080,R011,5
